Index,Prime,Time,OriginalTime
918,7187,1,355
919,7193,1,355
920,7207,1,355
921,7211,1,355
922,7213,1,355
923,7219,1,355
924,7229,1,355
925,7237,1,355
926,7243,1,355
927,7247,1,355
928,7253,1,355
929,7283,1,355
930,7297,1,355
931,7307,1,355
932,7309,1,355
933,7321,1,355
934,7331,1,355
935,7333,1,355
936,7349,1,355
937,7351,1,355
938,7369,1,355
939,7393,1,355
940,7411,1,355
941,7417,1,355
942,7433,1,355
943,7451,1,355
944,7457,1,355
945,7459,1,355
946,7477,1,355
947,7481,1,355
948,7487,1,355
949,7489,1,355
950,7499,1,355
951,7507,1,355
952,7517,1,355
953,7523,1,355
954,7529,1,355
955,7537,1,355
956,7541,1,355
957,7547,1,355
958,7549,1,355
959,7559,1,355
960,7561,1,355
961,7573,1,355
962,7577,1,355
963,7583,1,355
964,7589,1,355
965,7591,1,355
966,7603,1,355
967,7607,1,355
968,7621,1,355
969,7639,1,355
970,7643,1,355
971,7649,1,355
972,7669,1,355
973,7673,1,355
974,7681,1,355
975,7687,1,355
976,7691,1,355
977,7699,1,355
978,7703,1,355
979,7717,1,355
980,7723,1,355
981,7727,1,355
982,7741,1,355
983,7753,1,355
984,7757,1,355
985,7759,1,355
986,7789,1,355
987,7793,1,355
988,7817,1,355
989,7823,1,355
990,7829,1,355
991,7841,1,355
992,7853,1,355
993,7867,1,355
994,7873,1,355
995,7877,1,355
996,7879,1,355
997,7883,1,355
998,7901,1,355
999,7907,1,355
1000,7919,1,355
1001,7927,1,355
1002,7933,1,355
1003,7937,1,355
1004,7949,1,355
1005,7951,1,355
1006,7963,1,355
1007,7993,1,355
1008,8009,1,355
1009,8011,1,355
1010,8017,1,355
1011,8039,1,355
1012,8053,1,355
1013,8059,1,355
1014,8069,1,355
1015,8081,1,355
1016,8087,1,355
1017,8089,1,355
1018,8093,1,355
1019,8101,1,355
1020,8111,1,355
1021,8117,1,355
1022,8123,1,355
1023,8147,1,355
1024,8161,1,355
1025,8167,1,355
1026,8171,1,355
1027,8179,1,355
1028,8191,1,355
1029,8209,1,355
1030,8219,1,355
1031,8221,1,355
1032,8231,1,355
1033,8233,1,355
1034,8237,1,355
1035,8243,1,355
1036,8263,1,355
1037,8269,1,355
1038,8273,1,355
1039,8287,1,355
1040,8291,1,355
1041,8293,1,355
1042,8297,1,355
1043,8311,1,355
1044,8317,1,355
1045,8329,1,355
1046,8353,1,355
1047,8363,1,355
1048,8369,1,355
1049,8377,1,355
1050,8387,1,355
1051,8389,1,355
1052,8419,1,355
1053,8423,1,355
1054,8429,1,355
1055,8431,1,355
1056,8443,1,355
1057,8447,1,355
1058,8461,1,355
1059,8467,1,355
1060,8501,1,355
1061,8513,1,355
1062,8521,1,355
1063,8527,1,355
1064,8537,1,355
1065,8539,1,355
1066,8543,1,355
1067,8563,1,355
1068,8573,1,355
1069,8581,1,355
1070,8597,1,355
1071,8599,1,355
1072,8609,1,355
1073,8623,1,355
1074,8627,1,355
1075,8629,1,355
1076,8641,1,355
1077,8647,1,355
1078,8663,1,355
1079,8669,1,355
1080,8677,1,355
1081,8681,1,355
1082,8689,1,355
1083,8693,1,355
1084,8699,1,355
1085,8707,1,355
1086,8713,1,355
1087,8719,1,355
1088,8731,1,355
1089,8737,1,355
1090,8741,1,355
1091,8747,1,355
1092,8753,1,355
1093,8761,1,355
1094,8779,1,355
1095,8783,1,355
1096,8803,1,355
1097,8807,1,355
1098,8819,1,355
1099,8821,1,355
1100,8831,1,355
1101,8837,1,355
1102,8839,1,355
1103,8849,1,355
1104,8861,1,355
1105,8863,1,355
1106,8867,1,355
1107,8887,1,355
1108,8893,1,355
1109,8923,1,355
1110,8929,1,355
1111,8933,1,355
1112,8941,1,355
1113,8951,1,355
1114,8963,1,355
1115,8969,1,355
1116,8971,1,355
1117,8999,1,355
1118,9001,1,355
1119,9007,1,355
1120,9011,1,355
1121,9013,1,355
1122,9029,1,355
1123,9041,1,355
1124,9043,1,355
1125,9049,1,355
1126,9059,1,355
1127,9067,1,355
1128,9091,1,355
1129,9103,1,355
1130,9109,1,355
1131,9127,1,355
1132,9133,1,355
1133,9137,1,355
1134,9151,1,355
1135,9157,1,355
1136,9161,1,355
1137,9173,1,355
1138,9181,1,355
1139,9187,1,355
1140,9199,1,355
1141,9203,1,355
1142,9209,1,355
1143,9221,1,355
1144,9227,1,355
1145,9239,1,355
1146,9241,1,355
1147,9257,1,355
1148,9277,1,355
1149,9281,1,355
1150,9283,1,355
1151,9293,1,355
1152,9311,1,355
1153,9319,1,355
1154,9323,1,355
1155,9337,1,355
1156,9341,1,355
1157,9343,1,355
1158,9349,1,355
1159,9371,1,355
1160,9377,1,355
1161,9391,1,355
1162,9397,1,355
1163,9403,1,355
1164,9413,1,355
1165,9419,1,355
1166,9421,1,355
1167,9431,1,355
1168,9433,1,355
1169,9437,1,355
1170,9439,1,355
1171,9461,1,355
1172,9463,1,355
1173,9467,1,355
1174,9473,1,355
1175,9479,1,355
1176,9491,1,355
1177,9497,1,355
1178,9511,1,355
1179,9521,1,355
1180,9533,1,355
1181,9539,1,355
1182,9547,1,355
1183,9551,1,355
1184,9587,1,355
1185,9601,1,355
1186,9613,1,355
1187,9619,1,355
1188,9623,1,355
1189,9629,1,355
1190,9631,1,355
1191,9643,1,355
1192,9649,1,355
1193,9661,1,355
1194,9677,1,355
1195,9679,1,355
1196,9689,1,355
1197,9697,1,355
1198,9719,1,355
1199,9721,1,355
1200,9733,1,355
1201,9739,1,355
1202,9743,1,355
1203,9749,1,355
1204,9767,1,355
1205,9769,1,355
1206,9781,1,355
1207,9787,1,355
1208,9791,1,355
1209,9803,1,355
1210,9811,1,355
1211,9817,1,355
1212,9829,1,355
1213,9833,1,355
1214,9839,1,355
1215,9851,1,355
1216,9857,1,355
1217,9859,1,355
1218,9871,1,355
1219,9883,1,355
1220,9887,1,355
1221,9901,1,355
1222,9907,1,355
1223,9923,1,355
1224,9929,1,355
1225,9931,1,355
1226,9941,1,355
1227,9949,1,355
1228,9967,1,355
1229,9973,1,355
1230,10007,1,355
1231,10009,1,355
1232,10037,1,355
1233,10039,1,355
1234,10061,1,355
1235,10067,1,355
1236,10069,1,355
1237,10079,1,355
1238,10091,1,355
1239,10093,1,355
1240,10099,1,355
1241,10103,1,355
1242,10111,1,355
1243,10133,1,355
1244,10139,1,355
1245,10141,1,355
1246,10151,1,355
1247,10159,1,355
1248,10163,1,355
1249,10169,1,355
1250,10177,1,355
1251,10181,1,355
1252,10193,1,355
1253,10211,1,355
1254,10223,1,355
1255,10243,1,355
1256,10247,1,355
1257,10253,1,355
1258,10259,1,355
1259,10267,1,355
1260,10271,1,355
1261,10273,1,355
1262,10289,1,355
1263,10301,1,355
1264,10303,1,355
1265,10313,1,355
1266,10321,1,355
1267,10331,1,355
1268,10333,1,355
1269,10337,1,355
1270,10343,1,355
1271,10357,1,355
1272,10369,1,355
1273,10391,1,355
1274,10399,1,355
1275,10427,1,355
1276,10429,1,355
1277,10433,1,355
1278,10453,1,355
1279,10457,1,355
1280,10459,1,355
1281,10463,1,355
1282,10477,1,355
1283,10487,1,355
1284,10499,1,355
1285,10501,1,355
1286,10513,1,355
1287,10529,1,355
1288,10531,1,355
1289,10559,1,355
1290,10567,1,355
1291,10589,1,355
1292,10597,1,355
1293,10601,1,355
1294,10607,1,355
1295,10613,1,355
1296,10627,1,355
1297,10631,1,355
1298,10639,1,355
1299,10651,1,355
1300,10657,1,355
1301,10663,1,355
1302,10667,1,355
1303,10687,1,355
1304,10691,1,355
1305,10709,1,355
1306,10711,1,355
1307,10723,1,355
1308,10729,1,355
1309,10733,1,355
1310,10739,1,355
1311,10753,1,355
1312,10771,1,355
1313,10781,1,355
